t,mox
[s],[g/s]
6.595,7.056104
6.6,7.052586
6.605,7.038511
6.61,7.056104
6.615,7.056104
6.62,7.06314
6.625,7.038511
6.63,7.052586
6.635,7.091291
6.64,7.038511
6.645,7.042028
6.65,7.045546
6.655,7.049069
6.66,7.056104
6.665,7.027953
6.67,7.042028
6.675,7.066662
6.68,7.034993
6.685,7.073698
6.69,7.034993
6.695,7.027953
6.7,7.031475
6.705,7.049069
6.71,7.087773
6.715,7.010364
6.72,7.056104
6.725,7.045546
6.73,7.027953
6.735,7.056104
6.74,7.059622
6.745,7.049069
6.75,7.042028
6.755,7.056104
6.76,7.06314
6.765,7.066662
6.77,7.013882
6.775,7.052586
6.78,7.056104
6.785,7.073698
6.79,7.042028
6.795,7.034993
6.8,7.07018
6.805,7.052586
6.81,7.066662
6.815,7.080733
6.82,7.038511
6.825,7.06314
6.83,7.027953
6.835,7.07018
6.84,7.084256
6.845,7.034993
6.85,7.034993
6.855,7.042028
6.86,7.045546
6.865,7.056104
6.87,7.010364
6.875,7.066662
6.88,7.038511
6.885,7.059622
6.89,7.052586
6.895,7.013882
6.9,7.07018
6.905,7.027953
6.91,7.042028
6.915,7.087773
6.92,7.038511
6.925,7.027953
6.93,7.045546
6.935,7.052586
6.94,7.059622
6.945,7.031475
6.95,7.038511
6.955,7.038511
6.96,7.042028
6.965,7.073698
6.97,7.038511
6.975,7.024435
6.98,7.020917
6.985,7.052586
6.99,7.042028
6.995,7.031475
7,7.049069
7.005,7.038511
7.01,6.996288
7.015,7.080733
7.02,7.020917
7.025,7.031475
7.03,7.049069
7.035,7.027953
7.04,7.080733
7.045,7.038511
7.05,7.006841
7.055,7.052586
7.06,7.024435
7.065,7.042028
7.07,7.042028
7.075,7.052586
7.08,7.027953
7.085,7.049069
7.09,7.087773
7.095,7.049069
7.1,7.024435
7.105,7.084256
7.11,7.042028
7.115,7.038511
7.12,7.024435
7.125,7.038511
7.13,7.080733
7.135,7.049069
7.14,7.024435
7.145,7.017399
7.15,7.038511
7.155,7.077215
7.16,7.027953
7.165,7.031475
7.17,7.059622
7.175,7.024435
7.18,7.034993
7.185,7.031475
7.19,7.06314
7.195,7.042028
7.2,7.006841
7.205,7.066662
7.21,7.056104
7.215,7.034993
7.22,7.066662
7.225,7.006841
7.23,7.027953
7.235,7.080733
7.24,7.042028
7.245,7.080733
7.25,7.006841
7.255,7.052586
7.26,7.07018
7.265,7.017399
7.27,7.052586
7.275,7.020917
7.28,7.020917
7.285,7.038511
7.29,7.017399
7.295,7.077215
7.3,7.027953
7.305,7.020917
7.31,7.06314
7.315,7.006841
7.32,7.049069
7.325,7.045546
7.33,7.013882
7.335,7.045546
7.34,7.024435
7.345,7.045546
7.35,7.045546
7.355,7.038511
7.36,7.034993
7.365,7.017399
7.37,7.077215
7.375,7.038511
7.38,7.006841
7.385,7.07018
7.39,7.027953
7.395,7.031475
7.4,7.049069
7.405,7.034993
7.41,7.042028
7.415,7.034993
7.42,7.056104
7.425,7.056104
7.43,7.006841
7.435,7.049069
7.44,7.024435
7.445,7.010364
7.45,7.087773
7.455,7.003324
7.46,7.045546
7.465,7.077215
7.47,7.027953
7.475,7.080733
7.48,7.027953
7.485,6.999806
7.49,7.038511
7.495,7.049069
7.5,7.056104
7.505,7.017399
7.51,7.038511
7.515,7.042028
7.52,7.038511
7.525,7.077215
7.53,7.017399
7.535,7.034993
7.54,7.080733
7.545,7.042028
7.55,7.066662
7.555,7.038511
7.56,7.045546
7.565,7.052586
7.57,7.010364
7.575,7.059622
7.58,7.045546
7.585,7.013882
7.59,7.06314
7.595,7.049069
7.6,7.045546
7.605,7.049069
7.61,7.031475
7.615,7.045546
7.62,7.013882
7.625,7.049069
7.63,7.059622
7.635,7.020917
7.64,7.049069
7.645,7.003324
7.65,7.024435
7.655,7.045546
7.66,6.996288
7.665,7.049069
7.67,7.031475
7.675,7.013882
7.68,7.084256
7.685,7.017399
7.69,7.038511
7.695,7.031475
7.7,6.996288
7.705,7.073698
7.71,6.999806
7.715,7.027953
7.72,7.027953
7.725,7.042028
7.73,7.045546
7.735,7.027953
7.74,7.034993
